Statistical profiling result from isolate-0x102801e00-v8.log, (2581 ticks, 222 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~Queue._pushOne /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/queue.js:19:37
      1    0.0%    0.0%  LazyCompile: ~Promise.try /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/sequelize/lib/sequelize.js:454:65
      1    0.0%    0.0%  LazyCompile: ~Promise._settlePromises /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/promise.js:683:46
      1    0.0%    0.0%  LazyCompile: ~Promise._settlePromiseFromHandler /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/promise.js:496:56
      1    0.0%    0.0%  LazyCompile: ~Promise._fulfill /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/promise.js:625:39
      1    0.0%    0.0%  LazyCompile: ~Promise._addCallbacks /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/promise.js:381:44
      1    0.0%    0.0%  LazyCompile: ~Promise /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/promise.js:70:17
      1    0.0%    0.0%  LazyCompile: ~NativeModule.require bootstrap_node.js:526:34
      1    0.0%    0.0%  LazyCompile: ~NativeModule.nonInternalExists bootstrap_node.js:571:46
      1    0.0%    0.0%  LazyCompile: ~Moment /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/moment/moment.js:236:20
      1    0.0%    0.0%  LazyCompile: ~Module._extensions..js module.js:669:37
      1    0.0%    0.0%  LazyCompile: ~Module._compile module.js:617:37
      1    0.0%    0.0%  LazyCompile: ~Module module.js:70:16
      1    0.0%    0.0%  LazyCompile: ~Mime.define /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/mime/mime.js:21:34
      1    0.0%    0.0%  LazyCompile: ~Immediate timers.js:778:19
      1    0.0%    0.0%  LazyCompile: ~DoJoin native array.js:94:16
      1    0.0%    0.0%  LazyCompile: ~Command.optionFor /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/mocha/node_modules/commander/index.js:676:39
      1    0.0%    0.0%  LazyCompile: ~CallSiteToString /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/source-map-support/source-map-support.js:247:26
      1    0.0%    0.0%  LazyCompile: ~Async.drainQueues /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/async.js:16:33
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/source-map-support/source-map-support.js:316:76
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/lodash/lodash.js:15248:36
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/lodash/_overRest.js:17:18
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/inflection/lib/inflection.js:18:19
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/graceful-fs/graceful-fs.js:49:71
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/caniuse-lite/dist/unpacker/agents.js:15:54
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/browserslist/index.js:12:35
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/promise.js:483:45
      1    0.0%    0.0%  LazyCompile: *resolve path.js:1164:28
      1    0.0%    0.0%  LazyCompile: *relative path.js:1258:30
      1    0.0%    0.0%  LazyCompile: *dirname path.js:1356:28
      1    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths module.js:311:37
      1    0.0%    0.0%  Builtin: TypedArrayConstructByArrayBuffer
      1    0.0%    0.0%  Builtin: StringPrototypeSplit
      1    0.0%    0.0%  Builtin: ObjectPrototypeHasOwnProperty
      1    0.0%    0.0%  Builtin: ObjectKeys
      1    0.0%    0.0%  Builtin: NonNumberToNumber
      1    0.0%    0.0%  Builtin: LoadIC_Noninlined
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenCall
      1    0.0%    0.0%  Builtin: FastNewObject
      1    0.0%    0.0%  Builtin: FastArrayPush
      1    0.0%    0.0%  Builtin: Construct {1}
      1    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
